Name,Team,PA,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Ryan Mountcastle","BAL",507,-0.7465877979495453,,0.7774521509806315,-4.557890729206364,,-5.638758697045972,3.1074955047123014,2.6645324141890914,3.0552820478166853,,1.810320253725405,,6.442990779876709,"Ryan Mountcastle",18373,663624
"Josh Lowe","TBR",387,-4.304903040110356,,0.7050814731515569,-7.252339680989583,,-4.344482764769136,3.0527199523089683,4.2927929380404874,3.0394589560372487,,-9.208296956005185,,5.273698806762695,"Josh Lowe",19953,666139
"Addison Barger","TOR",225,-3.6540540758070055,,0.7987968444824218,-6.1120173756669205,,-1.8917207323815213,2.1788861674647175,5.014954538056345,4.906052589416504,-1.0644110043843586,-7.592118835449218,,4.904029846191406,"Addison Barger",24598,680718
"George Springer","TOR",614,-1.6646695893386314,,0.599528977850906,-5.712639872233073,,-5.217728654308432,2.8545123964647785,2.172861467327988,2.9189569224481997,,0.42482705209769456,,4.722757816314697,"George Springer",12856,543807
"Trevor Larnach","MIN",400,-4.088767847521551,,0.9563218104986497,-7.44537845734627,,-5.884715800382653,2.5034238448054156,5.328035666725852,4.96924802992079,,-8.477756133139383,,3.828108310699463,"Trevor Larnach",21501,663616
"Taylor Ward","LAA",663,-2.441134496436573,,0.8121484878960006,-5.977693228886046,,-6.412298890553653,2.822475599206012,3.186395263671875,2.5333503440574363,,-1.6888411148734714,,3.528604507446289,"Taylor Ward",17548,621493
"Jorge Mateo","BAL",208,0.043960640448650334,,0.8947629801432292,-3.6033079624176025,,-1.4260433881710737,2.923191950871394,-0.12835580507914227,-0.464283029238383,,6.679844132388931,,3.4264116287231445,"Jorge Mateo",17273,622761
"Cedric Mullins","BAL",499,-3.0774886832052832,,0.8704252544202302,-5.778048285122575,,-1.8873297678851664,1.385678237743592,4.43501045334507,3.951098774754724,,-8.5910518685567,,2.3414840698242188,"Cedric Mullins",17929,656775
"Bryson Stott","PHI",571,-2.901398525844285,,0.7470241913014213,-6.44702886225103,-3.928466320037842,-1.8873375832872106,0.5522733354299082,4.0178616333007815,1.8017690658569336,,-8.06234359741211,,2.3287107944488525,"Bryson Stott",26294,681082
"Brandon Lowe","TBR",425,-3.60193406063247,,0.31237607388883026,-7.876584879557291,,-5.384694794077932,1.0356102826826998,4.893950028852983,2.9927118474786933,,-8.94982695997807,,2.1424155235290527,"Brandon Lowe",18882,664040
"Jose Herrera","ARI",114,-1.0075456165132068,,1.2040194272994995,-2.7962747301374162,,-2.5700359679104987,1.650677063885857,1.8508703843602594,4.786968577991832,,-1.3464760615907867,,1.9627766609191895,"Jose Herrera",17040,645444
"Adley Rutschman","BAL",638,-1.9515473146209192,,0.45092533015403424,-4.424664366479013,,-2.4182310480370743,1.929186790777008,2.5436792121362433,4.020622253417969,-1.0388854344685872,-2.6704817046389056,,1.4710625648498534,"Adley Rutschman",26288,668939
"Shea Langeliers","OAK",534,-1.7192591972858198,,0.9603934489505391,-3.9969503365310968,,-6.3721896293468046,2.590360315834604,1.3647079467773438,2.0835060119628905,-4.569635911421343,2.056058368985615,,1.2492468357086182,"Shea Langeliers",25816,669127
"Davis Schneider","TOR",454,-1.8538764662756597,,0.8563544494284074,-6.009439086914062,,-3.8255505548007247,2.3238504134600437,0.7553099132719494,0.9423197153452281,-2.6512813568115234,2.7678586786443535,,1.2318150997161865,"Davis Schneider",23565,676914
"Amed Rosario","- - -",346,-0.6461254719937786,,0.1577720154936497,-5.683320181710379,,-4.8199618970844105,2.2182191003582434,0.21319955082262976,4.121574759483337,,3.6006515194671325,,0.911310076713562,"Amed Rosario",15518,642708
"Elias Díaz","- - -",351,-1.1480906804402669,,0.09316439222503495,-3.7058059692382814,,-2.6501425750984633,2.7413353362640778,1.327543796212585,2.923372928912823,,3.201881345580606,,0.8743424415588379,"Elias Diaz",11680,553869
"William Contreras","MIL",679,-1.6878351866818326,,0.8743773329681551,-2.7627982115134215,3.447930097579956,-5.401122109674904,2.389997606153612,2.3290865916126178,0.9808241646244841,-3.244612693786621,0.0676083858196552,-4.458049774169922,0.6419918537139893,"William Contreras",20503,661388
"Xavier Edwards","MIA",303,-1.3995783557630566,,0.3186756168399845,-6.553798130580357,,-0.7816179063585069,1.0785989566725127,1.9803526951716497,5.029245104108538,,-3.1415128392099545,,0.499342679977417,"Xavier Edwards",22266,669364
"Orlando Arcia","ATL",602,-1.6681523940142464,,1.1524128974238528,-2.1985952812328673,-5.258246994018554,-5.619913646757206,2.6061803688956995,1.0296517752267265,3.2296886444091797,-2.045285088675363,0.9741120818477349,-3.9527857303619385,0.3135479688644409,"Orlando Arcia",13185,606115
"Vidal Bruján","MIA",278,-2.038815861772698,,0.17349435617257883,-4.743093996631856,,-2.9698624320652174,1.6816313578820354,2.0764484144236945,2.7686136033799915,,-3.9015421909568584,,0.05444014072418213,"Vidal Brujan",20536,660644
"Ryan O'Hearn","BAL",494,-4.000606453518907,,1.0276176738229028,-5.933494931175595,,-4.553741078317901,3.2986861923993644,4.7724325101669525,4.391203038832721,,-8.348674128605769,,-0.047610064347585045,"Ryan O'Hearn",16442,656811
"Michael Conforto","SFG",488,-2.9579429359702796,,0.18453688848586308,-6.100184849330357,,-1.7874365912543402,1.0846122859074518,3.360833140466944,2.7863009052891887,,-8.159617704503676,-4.33680788675944,-0.06141608953475952,"Michael Conforto",16376,624424
"James Wood","WSN",336,-2.1779722070817185,,0.2600949400214739,-7.3312766335227275,,1.54367216133777,0.9151656612273186,2.3114295535617404,3.256517971263212,,-6.500051962362753,,-0.14262472093105316,"James Wood",29518,695578
"Kyren Paris","LAA",59,0.48112042030591645,,-0.9558665752410889,-8.113094329833984,,0.3896247625350952,2.6356472969055176,0.2820759441541589,,,3.20567725686466,,-0.20673012733459473,"Kyren Paris",26420,677347
"Alec Bohm","PHI",606,-1.9901484047494284,,0.8453885246725643,-4.3813347449669475,5.006099700927734,-3.7130082156680047,2.6339982593332536,2.1256844260475853,1.33649357882413,-1.5218802690505981,4.9923158209007905,-3.5100789070129395,-0.20770387649536132,"Alec Bohm",21618,664761
"Santiago Espinal","CIN",391,-1.9700350035365226,,0.3753549712044852,-2.089907684326172,,-2.598400973534399,1.9983267599706491,0.7970477754035882,0.7981639749863568,-0.4412983258565267,4.949339140445814,,-0.32417264580726624,"Santiago Espinal",19997,669289
"Masataka Yoshida","BOS",421,-2.6674492302842028,,0.3641289949417114,-6.916458695023148,,-2.0427403104478032,0.6878980140546302,4.8950314142007745,2.1417556762695313,-5.929546356201172,-8.227463666130514,,-0.48560088872909546,"Masataka Yoshida",31837,807799
