Name,Team,PA,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Jake McCarthy","ARI",495,7.642716895788908,,-1.6866918504238129,-0.33316053450107574,-0.0337270088493824,-3.5540942773222923,6.717807419598103,3.1673571951687336,-0.3773198798298836,-0.29497601464390755,-3.4366261027753353,-0.03024286776781082,1.5592196621000767,"Jake McCarthy",21622,664983
"Jarren Duran","BOS",735,8.420364610850811,,1.2723799124360085,-1.343758337199688,,7.37766071036458,0.8397762216627598,5.4796868450939655,1.1439343690872192,0.9817841053009033,7.3640372306108475,-0.22284987568855286,1.54520932585001,"Jarren Duran",24617,680776
"Lourdes Gurriel Jr.","ARI",553,3.1086386032402515,,2.532576736062765,-0.47818608209490776,-0.09733431041240692,1.5407655835151672,-5.78217314556241,-0.2690867558121681,-0.5003420189023018,,-0.0004226192831993103,,1.4926949255168438,"Lourdes Gurriel Jr.",19238,666971
"Juan Yepez","WSN",249,1.3416232094168663,,-0.24537964165210724,0.1335848644375801,,-1.7620003335177898,-1.7971001751720905,4.04954693838954,-0.09932529553771019,,-0.0743635818362236,,1.4618384204804897,"Juan Yepez",18400,660766
"Willson Contreras","STL",358,8.44984444603324,,-2.569311484694481,0.5311328731477261,,9.489809211343527,-3.3798490278422832,-0.7434191294014454,-0.9629872217774391,,1.983993723988533,0.08979593217372894,1.4299857281148434,"Willson Contreras",11609,575929
"Cavan Biggio","- - -",224,-4.416137158870697,,-2.1712866462767124,-0.48857762664556503,,-1.5018640644848347,3.6176673658192158,-1.5523629523813725,0.8271716386079788,,0.5427136048674583,,1.268044251948595,"Cavan Biggio",19252,624415
"Nick Martini","CIN",163,-6.076405514031649,,0.46421853452920914,2.0653863959014416,,-0.43857648596167564,-0.6292644031345844,1.6098764389753342,-0.20123112201690674,,1.1298505365848541,,1.1422694884240627,"Nick Martini",12005,605361
"Christian Walker","ARI",552,2.371103420853615,,1.326488047838211,-1.333233818411827,0.1278742551803589,-0.21402256563305855,-2.524923801422119,2.256955612450838,0.8217568285763264,,5.809957802295685,,1.0635657534003258,"Christian Walker",13419,572233
"Danny Jansen","- - -",324,-0.6310799494385719,,-1.4892106764018536,-1.0289869792759418,,-0.6287886910140514,-1.5151061676442623,0.1363561600446701,0.5011158734560013,,0.00041408464312553406,,0.9938299544155598,"Danny Jansen",16535,643376
"Spencer Steer","CIN",656,-0.43942125141620636,,0.12667931243777275,0.6170997358858585,,-0.09730010479688644,1.4952057525515556,4.094574265182018,-0.9274886846542358,,1.0065074898302555,,0.9552773423492908,"Spencer Steer",26323,668715
"Michael Toglia","COL",458,6.077007047832012,,-3.1788364313542843,0.0812581516802311,,8.122082382440567,-2.56337883323431,-0.8491596803069115,-2.026795204728842,,-1.0557926930487156,-0.01512143388390541,0.9254814647138119,"Michael Toglia",25845,669911
"Freddie Freeman","LAD",638,6.8996722511947155,,-1.2651884332299232,2.1399210542440414,-0.3378245085477829,0.6565395072102547,7.014858774840832,4.279432523995638,-0.1432918757200241,,6.370881650596857,,0.9231231436133385,"Freddie Freeman",5361,518692
"Cedric Mullins","BAL",499,-3.523339983075857,,6.992635682225227,1.846948966383934,,-0.8118284344673157,-1.8439675904810429,-0.6580517254769802,-1.099531415849924,,0.9787995219230652,,0.8048977516591549,"Cedric Mullins",17929,656775
"Austin Martin","MIN",257,-2.040542848408222,,-0.22695627436041832,0.606510017067194,,-1.8269377760589123,-4.293670512735844,0.7118264622986317,-0.46288129314780235,,2.124336376786232,,0.8048977255821228,"Austin Martin",27462,668885
"Brendan Rodgers","COL",539,4.024494856595993,,0.242801982909441,1.3468150570988655,,-4.041776016354561,-8.497578382492065,5.751425828784704,0.6964088678359985,,-0.6262173242866993,0.021046951413154602,0.7914311438798904,"Brendan Rodgers",17907,663898
"Nolan Arenado","STL",635,-4.88135314360261,,-0.30540159717202187,-0.18632326647639275,-0.19612817466259003,1.8265943080186844,-5.154084526002407,4.064783718436956,2.1971246004104614,,-0.2923585958778858,,0.7673813365399837,"Nolan Arenado",9777,571448
"Brandon Lowe","TBR",425,5.113322585821152,,1.1151218749582767,-2.293103910982609,,2.587064530700445,-1.6505133546888828,3.0675380006432533,-0.738837294280529,,-1.9089565686881542,,0.7655333876609802,"Brandon Lowe",18882,664040
