Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Joey Wendle","NYM",0.41176471,0.51515152,0.46268657,0.53571429,0.94117647,0.75806452,0.49253731,0.81081081,0.1119403,0.2761194,0.3880597,"Joey Wendle",13853,621563
"Eric Haase","MIL",0.31818182,0.70689655,0.48518519,0.44897959,0.75609756,0.64122137,0.42962963,0.68115942,0.17407407,0.20740741,0.38148148,"Eric Haase",14111,606992
"Eguy Rosario","SDP",0.37956204,0.58426966,0.46017699,0.36538462,0.82692308,0.59615385,0.39380531,0.63157895,0.18584071,0.19469027,0.38053097,"Eguy Rosario",19964,666703
"Bobby Dalbec","BOS",0.31404959,0.69005848,0.46973366,0.55263158,0.63559322,0.60309278,0.41404358,0.64516129,0.18554217,0.19036145,0.37590361,"Bobby Dalbec",19966,666915
"Coby Mayo","BAL",0.32075472,0.68292683,0.4787234,0.38235294,0.67857143,0.56666667,0.43617021,0.58695652,0.20744681,0.15957447,0.36702128,"Coby Mayo",28312,691723
"Jose Siri","TBR",0.38512869,0.67117727,0.5033557,0.48267327,0.69959677,0.60222222,0.41331096,0.68080357,0.2,0.16536313,0.36536313,"Jose Siri",17452,642350
"Niko Kavadas","LAA",0.18897638,0.63507109,0.39139785,0.39583333,0.78358209,0.68131868,0.45376344,0.68867925,0.12473118,0.23870968,0.36344086,"Niko Kavadas",29782,694359
"David Villar","SFG",0.28,0.6557377,0.44852941,0.38095238,0.825,0.67213115,0.44852941,0.72972973,0.14705882,0.21323529,0.36029412,"David Villar",24782,681584
"Martín Maldonado","CHW",0.34228188,0.6627907,0.49100719,0.42156863,0.80116959,0.65934066,0.46402878,0.72789116,0.16666667,0.19354839,0.36021505,"Martin Maldonado",6887,455117
"David Hensley","MIA",0.20805369,0.52475248,0.336,0.4516129,0.83018868,0.69047619,0.404,0.60344828,0.10358566,0.25498008,0.35856574,"David Hensley",25111,682073
"Jonathan Ornelas","TEX",0.28888889,0.67123288,0.4601227,0.46153846,0.85714286,0.72,0.44785276,0.675,0.12883436,0.22699387,0.35582822,"Jonathan Ornelas",24597,680716
"Billy Cook","PIT",0.39393939,0.8,0.58152174,0.35897436,0.75,0.60747664,0.46195652,0.65306122,0.22826087,0.125,0.35326087,"Billy Cook",29573,695257
"Jared Walsh","TEX",0.22535211,0.64166667,0.41603053,0.4375,0.67532468,0.60550459,0.45801527,0.53333333,0.16412214,0.1870229,0.35114504,"Jared Walsh",18607,665120
"Seby Zavala","SEA",0.35483871,0.65384615,0.49122807,0.51515152,0.74509804,0.6547619,0.45614035,0.76744186,0.16959064,0.18128655,0.35087719,"Seby Zavala",18887,664874
"Tristan Gray","- - -",0.36486486,0.75510204,0.5203252,0.44444444,0.62162162,0.546875,0.39837398,0.61290323,0.23577236,0.11382114,0.3495935,"Tristan Gray",19877,656484
"Kyle McCann","OAK",0.27900552,0.69708029,0.4591195,0.34653465,0.68586387,0.56849315,0.43081761,0.59872611,0.19811321,0.1509434,0.3490566,"Kyle McCann",25575,668832
"Forrest Wall","- - -",0.27692308,0.6875,0.48062016,0.27777778,0.75,0.61290323,0.49612403,0.68571429,0.18604651,0.1627907,0.34883721,"Forrest Wall",16496,657088
"Tom Murphy","SFG",0.29069767,0.60606061,0.42763158,0.4,0.825,0.66153846,0.43421053,0.68421053,0.14379085,0.20261438,0.34640523,"Tom Murphy",13499,608596
"Oliver Dunn","MIL",0.24186047,0.65024631,0.44019139,0.42307692,0.79545455,0.69021739,0.48564593,0.59615385,0.13636364,0.20813397,0.34449761,"Oliver Dunn",26295,686554
"Jacob Amaya","- - -",0.23837209,0.53488372,0.3654485,0.46341463,0.88405797,0.72727273,0.42857143,0.72222222,0.09933775,0.24503311,0.34437086,"Jacob Amaya",23296,676070
"Niko Goodrum","- - -",0.26829268,0.62068966,0.41428571,0.54545455,0.75,0.67241379,0.41428571,0.54545455,0.13571429,0.20714286,0.34285714,"Niko Goodrum",12092,592348
"Grant McCray","SFG",0.34,0.78538813,0.52793834,0.37254902,0.73255814,0.59854015,0.42196532,0.60769231,0.21153846,0.13076923,0.34230769,"Grant McCray",25690,687529
"Tyler Locklear","SEA",0.3852459,0.71621622,0.51020408,0.42553191,0.8490566,0.65,0.37755102,0.75510204,0.17857143,0.16326531,0.34183673,"Tyler Locklear",31396,682988
"Chadwick Tromp","ATL",0.45192308,0.65384615,0.53846154,0.5106383,0.80392157,0.66326531,0.42857143,0.62962963,0.18131868,0.15934066,0.34065934,"Chadwick Tromp",16953,644433
"Mason McCoy","SDP",0.35384615,0.55882353,0.44396552,0.54347826,0.87719298,0.72815534,0.43965517,0.77192982,0.12068966,0.21982759,0.34051724,"Mason McCoy",22232,669200
"Sam Hilliard","COL",0.33420366,0.65660377,0.46604938,0.4375,0.73563218,0.60927152,0.40895062,0.55063291,0.18153846,0.15692308,0.33846154,"Sam Hilliard",17954,656541
"Gary Sánchez","MIL",0.29799427,0.57173913,0.40673575,0.60096154,0.81749049,0.72186837,0.39723661,0.58571429,0.11312608,0.22452504,0.33765112,"Gary Sanchez",11442,596142
"Justyn-Henry Malloy","DET",0.24460432,0.68505747,0.43794147,0.44117647,0.77181208,0.66820276,0.43895055,0.59565217,0.14501511,0.19234642,0.33736153,"Justyn-Henry Malloy",29606,669234
"Jahmai Jones","NYY",0.30120482,0.5942029,0.43421053,0.48,0.82926829,0.6969697,0.45394737,0.63829787,0.13157895,0.20394737,0.33552632,"Jahmai Jones",18872,663330
"Estevan Florial","CLE",0.30566038,0.78918919,0.50444444,0.43209877,0.67123288,0.58590308,0.41111111,0.59459459,0.20842572,0.12638581,0.33481153,"Estevan Florial",19151,664314
"Jhonkensy Noel","CLE",0.4688172,0.67181467,0.54143646,0.51376147,0.8908046,0.68112245,0.35773481,0.7020202,0.17217631,0.16253444,0.33471074,"Jhonkensy Noel",24257,678877
"Daniel Vogelbach","TOR",0.17391304,0.47586207,0.29829545,0.72222222,0.94202899,0.86666667,0.41193182,0.48101266,0.04143646,0.29281768,0.33425414,"Daniel Vogelbach",14130,596129
"Michael A. Taylor","PIT",0.32416787,0.70450098,0.48585691,0.41071429,0.76111111,0.62671233,0.42512479,0.66333333,0.18076285,0.15257048,0.33333333,"Michael A. Taylor",11489,572191
