Name,Team,PA,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Aaron Hicks","LAA",63,94.39454900568182,,88.90882065716912,84.7999979654948,,91.97878935842803,83.44603329613095,79.0039990234375,87.83333333333333,,85.19148936170212,,,"Aaron Hicks",5297,543305
"Aaron Judge","NYY",704,94.83216804474708,,89.79604897480237,86.63258207514045,,94.17643762807377,84.84704051071878,79.96459506017081,81.26666768391927,,85.57293600453795,,,"Aaron Judge",15640,592450
"Aaron Schunk","COL",98,94.75257731958763,,89.51538711939102,87.42500305175781,,91.98153545673077,83.90204480229592,80.01111291956019,,46.3999989827474,85.592001953125,,76.69999694824219,"Aaron Schunk",25524,668845
"Abraham Toro","OAK",364,93.99622577037773,,89.462109375,87.2563407790493,,93.47272600446429,84.86831876547029,79.36379478717673,81.3,52.03333536783854,85.51953125,,,"Abraham Toro",19844,647351
"Adam Duvall","ATL",330,94.37078536184211,,89.54673700747283,86.12857142857143,,93.41359991776316,84.88858976163664,81.12054526969177,81.17368035567434,44.15999755859375,84.45541933358433,,77.60000610351562,"Adam Duvall",10950,594807
"Adam Frazier","KCR",294,94.55501222493888,,89.59076772836538,86.76383290392288,,92.61409395973155,85.10572687224669,79.45057695761494,82.18332926432292,,85.30266927083333,,,"Adam Frazier",15223,624428
"Addison Barger","TOR",225,93.37362637362638,,89.68666666666667,87.41219274009147,,93.39669421487604,84.07806199596774,79.86363636363636,82.125,45.23333231608073,86.236669921875,,61.29999923706055,"Addison Barger",24598,680718
"Adley Rutschman","BAL",638,94.43287335337915,,90.27142693014706,85.70195695465686,,93.48960433467742,84.85927778563348,79.27301380621694,80.75227494673295,40.166666666666664,86.04162305622009,,59.02000122070312,"Adley Rutschman",26288,668939
"Adolis García","TEX",637,94.30291631593715,,89.72269847972973,85.83709519909274,,93.65920350609755,84.40957446808511,79.04298700350468,80.81428455171131,,84.88214595734127,,,"Adolis Garcia",19287,666969
"Adrian Del Castillo","ARI",87,93.91143043154761,,90.1869586447011,86.07499694824219,,93.10181995738637,84.69423264723558,79.59545343572444,79.80000305175781,,86.92115196814903,80.5,,"Adrian Del Castillo",29554,680728
"Akil Baddoo","DET",82,94.58437093098958,,89.44117647058823,87.54583740234375,,93.00769355969551,84.86773878528226,81.08095005580357,84.8499984741211,49.625,85.63018683667453,,,"Akil Baddoo",22168,668731
"Alan Trejo","COL",67,93.12239097481343,,89.43332926432292,,,93.64222005208333,85.09821428571429,80.44210654810855,81.53333028157552,,86.03181596235795,,,"Alan Trejo",20056,676701
"Alec Bohm","PHI",606,94.40640482088415,,89.00411879595588,86.33846341646634,83.5999984741211,92.85435779816514,84.78759392891222,79.31818181818181,81.33636474609375,47.20000076293945,85.15060240963855,79.30000305175781,77.7,"Alec Bohm",21618,664761
"Alec Burleson","STL",595,94.39450924295775,,89.35375835440752,86.12954434481534,,93.16725352112677,84.60111781529018,79.52793296089385,81.98333333333333,,86.460498046875,79.9000015258789,,"Alec Burleson",27615,676475
"Alejandro Kirk","TOR",386,94.28238829926624,,88.85441320082721,86.45217497452445,,93.55709918478261,84.66644164219798,80.15783250188252,82.8125,42.70000203450521,85.30991342905405,,,"Alejandro Kirk",22581,672386
"Alek Thomas","ARI",103,94.20089914132883,,90.90333658854166,87.4090909090909,,93.50384990985577,84.98055691189236,80.73809523809524,82.5,,84.93468989158163,,,"Alek Thomas",23792,677950
"Alex Bregman","HOU",634,94.21166032953106,,89.57950189246894,86.64615572415866,,93.48941584543569,84.54011446563088,79.58648516680744,79.8343734741211,,84.6451756821066,,,"Alex Bregman",17678,608324
"Alex Call","WSN",113,94.43913164790372,,88.11851671006944,86.26000162760417,,93.71711359797297,84.22643902658046,80.93030155066288,83.46249898274739,,85.21142578125,,,"Alex Call",19296,669743
