Name,Team,PA,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Cedric Mullins","BAL",499,9.364269277667473,,5.200611315275493,1.4314847485772495,,4.0251901951419224,1.3797886880596033,-5.327086972518706,-5.186616764512173,,2.8105657518524483,,9.194390296936035,"Cedric Mullins",17929,656775
"Leo Jiménez","TOR",210,9.538987308400666,,4.071951663855351,2.5321534474690757,,4.71887435913086,1.172549147102701,-5.742271423339844,-6.267641067504883,7.369318008422852,3.7486489785684123,,8.81265640258789,"Leo Jimenez",23782,677870
"Hunter Renfroe","KCR",424,8.974181137616009,,4.78807228489926,1.9373792012532551,,4.686938117532169,0.9780418920411239,-4.4552425668259295,-4.209523652729235,,3.3974615478515626,,8.579812049865723,"Hunter Renfroe",15464,592669
"Eric Haase","MIL",69,8.66910831227022,,2.8688579358552633,1.1490459442138672,,3.9188551221575056,0.9424302636123285,-4.007378951362941,-6.0957183837890625,8.32790470123291,0.553435378604465,,7.855327606201172,"Eric Haase",14111,606992
"William Contreras","MIL",679,9.295847302043423,,4.532820803259835,1.9907003549429088,2.7437164783477783,4.854825362134117,1.1348809576653816,-4.825194160893278,-4.301467319704452,8.406389872233072,3.043895545372596,-2.723708152770996,6.53228235244751,"William Contreras",20503,661388
"Freddy Fermin","KCR",368,9.122127999736287,,5.013342486925362,1.8045414515904017,,4.794382608559237,1.150350287885696,-4.54507807249664,-6.29810293097245,9.576415061950684,3.65399908250378,,6.197815895080566,"Freddy Fermin",21840,666023
"Jackson Chourio","MIL",573,9.11261036604201,,4.561803343949045,2.3883270755890877,2.6939799785614014,4.880449090536105,1.4141313347806794,-5.33248273700687,-5.5369149484942035,9.036321640014648,2.9214038634568116,,5.840987205505371,"Jackson Chourio",28806,694192
"George Springer","TOR",614,9.477800882273707,,4.911475430015757,1.7857196807861329,,4.796192658253205,0.9684736066837375,-4.987252218681469,-4.790508767832881,,3.333866792566636,,5.032638072967529,"George Springer",12856,543807
"Addison Barger","TOR",225,9.270006116929945,,4.470619710286458,0.4663822360155059,,3.864916084226498,0.3996342320596018,-5.205020788944129,-5.896036624908447,1.628890037536621,3.056700897216797,,4.519895076751709,"Addison Barger",24598,680718
"Bryan De La Cruz","- - -",622,9.456060737632106,,5.125949378152495,2.547511785802707,,4.6548322452011925,1.0562001057021857,-4.979166236290565,-5.33050537109375,,3.523966537238403,,4.408349514007568,"Bryan De La Cruz",19600,650559
"Davis Schneider","TOR",454,9.488076486895162,,4.870329603637006,1.681951141357422,,4.428484488224638,0.773993800528607,-5.747733561197917,-5.5888337831239445,9.19327449798584,3.340346249667081,,4.234656810760498,"Davis Schneider",23565,676914
"Amed Rosario","- - -",346,9.567258470513847,,4.861414634264433,2.7590111323765347,,4.419908407148621,1.4851828877797384,-5.62520198498742,-6.142072509316837,,3.5135148655284536,,3.271162748336792,"Amed Rosario",15518,642708
"Jorge Soler","- - -",574,9.147224386738989,,4.433554322180087,3.105542852523479,,4.587754564884952,1.1101799437113735,-5.253393389727618,-3.6061014921768852,,3.407138630495233,,2.7171220779418945,"Jorge Soler",14221,624585
"Adley Rutschman","BAL",638,9.256699464848225,,5.23695181197479,1.1907600702023973,,3.534842761186716,1.1580793976244343,-5.877874788153108,-7.354025407270952,6.142737070719401,3.1497198223497307,,2.5567935943603515,"Adley Rutschman",26288,668939
"Ryan Mountcastle","BAL",507,9.425519962374581,,4.710084279378255,1.8689949221727324,,4.663608353913374,1.0259668259393602,-4.739111158582899,-5.5273846217564175,,3.3051524221161266,,2.553506851196289,"Ryan Mountcastle",18373,663624
"Cristian Pache","- - -",183,9.122670959472655,,4.4095817365144425,3.2971657117207847,-0.5097415447235107,4.904356675989487,1.1006599314072554,-4.506063946222855,-1.9423534870147705,,3.755530480110999,,2.3774678707122803,"Cristian Pache",19948,665506
"Michael Conforto","SFG",488,8.93102122486888,,5.0010679076318025,1.9592275247945414,,4.603823909053096,1.2025771859975962,-5.059720959966582,-6.0082225184286795,,3.4099457684685204,-1.2459837595621746,2.177896738052368,"Michael Conforto",16376,624424
"Trevor Larnach","MIN",400,9.228511135057472,,4.685095139491705,2.233978271484375,,4.145637356505102,0.9507047285944779,-5.337983842329545,-5.8787994384765625,,3.1668913134969925,,2.061936140060425,"Trevor Larnach",21501,663616
"Aaron Schunk","COL",98,7.803911661364369,,2.9341880602714343,2.6850550174713135,,3.0540675236628605,0.05454819543021066,-5.30165778266059,,1.4264577229817708,3.66235107421875,,2.039924144744873,"Aaron Schunk",25524,668845
"Zach Neto","LAA",602,9.476096032001719,,5.15466005582336,2.1790289395097373,,4.568091706083475,1.0973730131228399,-5.076781495602545,-6.145405695988582,,3.7906133742559525,,2.0373921394348145,"Zach Neto",31347,687263
"Justin Turner","- - -",539,9.657701370205574,,4.909433772054951,1.5627079329320364,,4.707388869854582,1.3574806131342405,-4.6006191020109215,-5.28253698348999,,3.2840387680951286,,1.7895615100860596,"Justin Turner",5235,457759
"Ryan O'Hearn","BAL",494,9.298764935661765,,4.790633094502005,1.8081490652901786,,3.8891146938496655,1.1353228035619702,-6.058859071775114,-6.494016759535846,,2.990154794546274,,1.511106808980306,"Ryan O'Hearn",16442,656811
"Orlando Arcia","ATL",602,9.291466567095588,,4.187085115456883,3.072662085817571,3.437144470214844,4.9301514213206765,1.044834934246885,-4.514691973065997,-3.8490837642124722,7.910199846540179,2.7393497748662963,-1.6762266159057617,1.5044134457906086,"Orlando Arcia",13185,606115
"Michael Toglia","COL",458,8.104405830320248,,3.7025140380859374,2.2979498726981027,,3.4474192101970997,0.4244781321724929,-5.015024175876524,-4.839342435201009,,2.7713971493849114,-1.6894309520721436,1.226430098215739,"Michael Toglia",25845,669911
"Patrick Bailey","SFG",448,8.975124028232406,,4.315634476511102,2.4052375344669117,,4.171714932310815,1.440292707836355,-4.917219994773327,-4.355046040302998,6.272942225138347,3.284804511316044,-2.0180773735046387,1.195401906967163,"Patrick Bailey",27478,672275
