Name,Team,IP,botCmd FA,botCmd SI,botCmd FC,botCmd FS,botCmd SL,botCmd CU,botCmd CH,botCmd KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Triston McKenzie","CLE",75.2,36.84455660322108,,,,24.465717700729925,44.41727682997118,,,27.221969892966364,36.619239931192666,31.92898858562691,1.5405259327217127,6.387881032110091,"Triston McKenzie",18000,663474
"Nick Nastrini","CHW",35.2,20,,,,44.55891060150377,28.194685555555555,20,,31.887260421195652,42.047651548913045,20,1.2506897282608695,5.953128573369566,"Nick Nastrini",29833,680897
"José Buttó","NYM",74,38.99112085714286,21.21892672597865,,,37.695070696864114,,38.413900334572496,,32.32561058053966,48.585621545380214,28.83354520850368,1.2234549386753883,5.9122750531479955,"Jose Butto",23313,676130
"Tayler Saucedo","SEA",38.2,25.438175200000003,50.90493055970149,,,31.090368366013074,20,35.32234636363637,,33.84459187908496,49.55537545751633,30.488869754901962,1.1290867156862743,5.770723235294117,"Tayler Saucedo",17888,642048
"Chad Kuhl","CHW",53.1,22.15048886218177,39.314725199312356,45.82505131868132,,42.14992998653846,,51.25677917987971,,35.66704204107338,47.110596931544364,37.630144384446886,1.0158647798466591,5.600889937568455,"Chad Kuhl",14975,641771
"Peter Lambert","COL",61.1,48.008176324999994,33.06301805555555,,,47.87833497435897,45.336559557854414,42.69460169230769,,36.373205591915294,41.816563455245436,41.92815817131857,0.9719940904716075,5.53508415784408,"Peter Lambert",17969,663567
"Roddery Muñoz","MIA",82.2,40.22304884711779,45.62256061946903,43.10254279365079,,32.46580326530612,,41.79509000000001,,36.59333237550471,44.40505747644683,38.94414812920593,0.9583181897711978,5.51457004037685,"Roddery Munoz",25311,682610
"Kyle Tyler","MIA",31.2,33.371014457831315,,52.28369057692307,,22.007783692307694,35.10335666666667,20,,37.54403366609295,42.424039277108434,36.612000103270226,0.8992547676419966,5.4259743373493965,"Kyle Tyler",22092,667725
"Bradley Blalock","- - -",30.2,42.22066730941704,,46.039541880341886,37.7743672,59.06919916666667,53.58736185185185,,,37.837358628158846,38.73235575812274,44.33757592057761,0.8810325812274368,5.398641281588447,"Bradley Blalock",26419,687134
"Dakota Hudson","COL",89,44.90610914691943,48.42489558635394,,,44.308886735294124,46.220274669260704,38.712012846715325,,37.92422859957776,37.720438332160455,44.22756646727655,0.875634630541872,5.390543026038002,"Dakota Hudson",19206,641712
"Kyle Nicolas","PIT",54.2,36.80167804780876,20,,,40.57591251231528,32.1278239,,,38.17995179005525,59.23874437569061,32.0917302762431,0.8597471049723756,5.3667131602209945,"Kyle Nicolas",27775,693312
"Drew Thorpe","CHW",44.1,43.924729956896556,,46.4582056,,35.01619315789475,,59.725425703125,,38.27621171983357,42.8568175589459,47.390016269070735,0.8537670596393898,5.357742538141469,"Drew Thorpe",31967,689672
"Andrew Chafin","- - -",56.1,50.514592131211195,40.21416937967772,,,27.280078602725045,,,,38.34768534672527,51.18580839982765,34.28788980032747,0.8493266405377455,5.351081659927612,"Andrew Chafin",12988,605177
