Name,Team,IP,botOvr FA,botOvr SI,botOvr FC,botOvr FS,botOvr SL,botOvr CU,botOvr CH,botOvr KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Triston McKenzie","CLE",75.2,38.67852724743778,,,,20,36.479481123919314,,,27.221969892966364,36.619239931192666,31.92898858562691,1.5405259327217127,6.387881032110091,"Triston McKenzie",18000,663474
"Nick Nastrini","CHW",35.2,30.330661141141146,,,,50.08068157894737,30.776037460317465,26.23646708333333,,31.887260421195652,42.047651548913045,20,1.2506897282608695,5.953128573369566,"Nick Nastrini",29833,680897
"José Buttó","NYM",74,44.34289444155844,29.1172484341637,,,38.409784355400696,,33.03295702602231,,32.32561058053966,48.585621545380214,28.83354520850368,1.2234549386753883,5.9122750531479955,"Jose Butto",23313,676130
"Tayler Saucedo","SEA",38.2,21.9332716,53.252827798507454,,,34.55453189542483,20,33.012941818181815,,33.84459187908496,49.55537545751633,30.488869754901962,1.1290867156862743,5.770723235294117,"Tayler Saucedo",17888,642048
"Chad Kuhl","CHW",53.1,27.509707636182615,34.07189647018373,39.007601868131864,,39.347069417628205,,46.63884117003827,,35.66704204107338,47.110596931544364,37.630144384446886,1.0158647798466591,5.600889937568455,"Chad Kuhl",14975,641771
"Peter Lambert","COL",61.1,42.35263947500002,35.82093611111111,,,42.60939512820513,39.26240543141762,41.72899657692307,,36.373205591915294,41.816563455245436,41.92815817131857,0.9719940904716075,5.53508415784408,"Peter Lambert",17969,663567
"Roddery Muñoz","MIA",82.2,40.11921363408521,44.50991067846608,38.04046098412698,,30.474012959183675,,33.25108405797103,,36.59333237550471,44.40505747644683,38.94414812920593,0.9583181897711978,5.51457004037685,"Roddery Munoz",25311,682610
"Kyle Tyler","MIA",31.2,36.11022662650603,,48.67276619230769,,22.13474476923077,38.64834866666667,20,,37.54403366609295,42.424039277108434,36.612000103270226,0.8992547676419966,5.4259743373493965,"Kyle Tyler",22092,667725
"Bradley Blalock","- - -",30.2,37.004683094170396,,38.02561743589743,31.56579026666667,55.510016979166664,53.0900874074074,,,37.837358628158846,38.73235575812274,44.33757592057761,0.8810325812274368,5.398641281588447,"Bradley Blalock",26419,687134
"Dakota Hudson","COL",89,37.36742,40.102509381663104,,,37.889926882352945,45.83527614785992,37.06488306569342,,37.92422859957776,37.720438332160455,44.22756646727655,0.875634630541872,5.390543026038002,"Dakota Hudson",19206,641712
"Kyle Nicolas","PIT",54.2,44.90339396414344,20,,,41.658020394088666,34.30184895,,,38.17995179005525,59.23874437569061,32.0917302762431,0.8597471049723756,5.3667131602209945,"Kyle Nicolas",27775,693312
"Drew Thorpe","CHW",44.1,34.5340913362069,,41.8747361,,27.103493909774436,,55.75256453125,,38.27621171983357,42.8568175589459,47.390016269070735,0.8537670596393898,5.357742538141469,"Drew Thorpe",31967,689672
"Andrew Chafin","- - -",56.1,44.109207142857144,36.92077471354739,,,36.97779503223605,,,,38.34768534672527,51.18580839982765,34.28788980032747,0.8493266405377455,5.351081659927612,"Andrew Chafin",12988,605177
"Luis Medina","OAK",40,45.29714251633987,46.57980019417475,,,32.44015154696133,30.556546575342466,48.42687157894737,,38.54252559722222,46.22013180555555,40.35952006944444,0.8372210694444444,5.332924194444445,"Luis Medina",21649,665622
"Tommy Kahnle","NYY",42.2,31.41980057971014,20,,,23.9135965,,52.049984887640456,,38.626830701513065,55.65541982118294,37.22575162310868,0.8319842228335624,5.325068707015132,"Tommy Kahnle",11384,592454
"Tyler Kinley","COL",64,30.703961722365033,20,,,48.0901637154696,,26.6334238095238,,39.19082130212766,48.69581185531914,44.235359131914876,0.7969451659574468,5.272510561702131,"Tyler Kinley",18297,641755
"Chris Flexen","CHW",160,37.10967217478468,34.35418333333333,48.716365936413325,,34.27033505464481,44.241018602339174,49.38348334504132,,39.24701548403189,43.509780727523676,44.02142920296663,0.7934542814976178,5.267273229539954,"Chris Flexen",13896,623167
"Bryce Jarvis","ARI",59.1,40.98115766570604,45.89360546666666,54.73508882812501,,36.7571456302521,20,36.956372335766424,,39.3582844345238,46.42787761904763,42.51511550595238,0.7865407738095239,5.256902718253968,"Bryce Jarvis",27477,686826
"Bryce Elder","ATL",49.2,31.810331090909095,35.201517690217386,,,54.427825808823535,,35.99430394736842,,39.67250479166666,35.161836701388886,47.98934482638889,0.7670193981481481,5.227621597222221,"Bryce Elder",27779,693821
"Taijuan Walker","PHI",83.2,25.61993199490013,38.30624414224901,40.51690742490522,49.5145317158555,49.668625060789566,48.91920091081594,,,39.78683172201105,30.888421910973857,42.64858796919251,0.7599165939710695,5.216965989758209,"Taijuan Walker",11836,592836
"Jose Quintana","NYM",170.1,36.72886341269841,49.35865095295537,,,,46.7275593955322,41.04345811320755,,39.97991081973158,37.7812155930359,43.48078478055859,0.7479227348567284,5.198976071817192,"Jose Quintana",11423,500779
"Angel Chivilli","COL",31.2,,31.380066635514023,,,43.22936191489362,,53.45970268292684,,40.05811750972764,45.87332350194552,44.884553132295736,0.7430623540856032,5.191685817120623,"Angel Chivilli",26790,683409
