Name,Team,IP,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,botOvr,botStf,botCmd,botxRV100,botERA,NameASCII,PlayerId,MLBAMID
"Triston McKenzie","CLE",75.2,47.08036306002929,,,,25.181917189781025,45.544053602305475,,,27.221969892966364,36.619239931192666,31.92898858562691,1.5405259327217127,6.387881032110091,"Triston McKenzie",18000,663474
"Nick Nastrini","CHW",35.2,48.683560540540526,,,,38.520545526315786,40.60062571428572,41.45358986111111,,31.887260421195652,42.047651548913045,20,1.2506897282608695,5.953128573369566,"Nick Nastrini",29833,680897
"José Buttó","NYM",74,56.677484,51.94246067615658,,,44.91737198606272,,39.376349368029736,,32.32561058053966,48.585621545380214,28.83354520850368,1.2234549386753883,5.9122750531479955,"Jose Butto",23313,676130
"Tayler Saucedo","SEA",38.2,33.87631559999999,54.307444962686574,,,52.13736339869281,56.839536875,39.92065895104894,,33.84459187908496,49.55537545751633,30.488869754901962,1.1290867156862743,5.770723235294117,"Tayler Saucedo",17888,642048
"Chad Kuhl","CHW",53.1,36.300063884227,40.51999280670462,46.122936043956045,,47.293505939743596,,48.09536010251504,,35.66704204107338,47.110596931544364,37.630144384446886,1.0158647798466591,5.600889937568455,"Chad Kuhl",14975,641771
"Peter Lambert","COL",61.1,42.784856250000004,49.901485,,,41.179344615384615,36.530931540996164,44.65840765384616,,36.373205591915294,41.816563455245436,41.92815817131857,0.9719940904716075,5.53508415784408,"Peter Lambert",17969,663567
"Roddery Muñoz","MIA",82.2,46.577504812030085,49.18492938053097,43.42107047619048,,44.20752404761905,,30.75100311594203,,36.59333237550471,44.40505747644683,38.94414812920593,0.9583181897711978,5.51457004037685,"Roddery Munoz",25311,682610
"Kyle Tyler","MIA",31.2,50.832241325301204,,30.358257192307693,,49.093174769230764,49.54510266666667,36.102241428571425,,37.54403366609295,42.424039277108434,36.612000103270226,0.8992547676419966,5.4259743373493965,"Kyle Tyler",22092,667725
"Bradley Blalock","- - -",30.2,39.46945739910314,,45.80960256410257,42.77195426666666,41.14693645833334,47.70158555555555,,,37.837358628158846,38.73235575812274,44.33757592057761,0.8810325812274368,5.398641281588447,"Bradley Blalock",26419,687134
"Dakota Hudson","COL",89,45.65485962085308,34.784627590618335,,,40.44929932352942,45.79897350194552,36.20756963503649,,37.92422859957776,37.720438332160455,44.22756646727655,0.875634630541872,5.390543026038002,"Dakota Hudson",19206,641712
"Kyle Nicolas","PIT",54.2,58.32343019920318,73.18518,,,62.59024778325124,62.85458350000002,,,38.17995179005525,59.23874437569061,32.0917302762431,0.8597471049723756,5.3667131602209945,"Kyle Nicolas",27775,693312
"Drew Thorpe","CHW",44.1,30.36683017241379,,48.8685311,,32.19858421052632,,54.456389062499994,,38.27621171983357,42.8568175589459,47.390016269070735,0.8537670596393898,5.357742538141469,"Drew Thorpe",31967,689672
"Andrew Chafin","- - -",56.1,43.935587052277434,41.38131554596651,,,59.47550279698587,,,,38.34768534672527,51.18580839982765,34.28788980032747,0.8493266405377455,5.351081659927612,"Andrew Chafin",12988,605177
"Luis Medina","OAK",40,49.198208986928115,60.3684727184466,,,43.668875745856354,40.66867123287671,50.20350561403508,,38.54252559722222,46.22013180555555,40.35952006944444,0.8372210694444444,5.332924194444445,"Luis Medina",21649,665622
"Tommy Kahnle","NYY",42.2,40.54957405797101,39.98845857142857,,,33.829396499999994,,55.17771930711611,,38.626830701513065,55.65541982118294,37.22575162310868,0.8319842228335624,5.325068707015132,"Tommy Kahnle",11384,592454
"Tyler Kinley","COL",64,48.74322565552699,41.532140000000005,,,44.96204121546963,,44.669834285714295,,39.19082130212766,48.69581185531914,44.235359131914876,0.7969451659574468,5.272510561702131,"Tyler Kinley",18297,641755
"Chris Flexen","CHW",160,37.540383333085835,44.90565333333333,47.199640825881765,,45.31599792349726,43.59712557894737,59.67775828099174,,39.24701548403189,43.509780727523676,44.02142920296663,0.7934542814976178,5.267273229539954,"Chris Flexen",13896,623167
"Bryce Jarvis","ARI",59.1,42.43678521613832,44.50394046666668,52.831759531250015,,44.515256638655444,40.25763,58.278198175182474,,39.3582844345238,46.42787761904763,42.51511550595238,0.7865407738095239,5.256902718253968,"Bryce Jarvis",27477,686826
"Bryce Elder","ATL",49.2,35.74282354545455,28.837592282608693,,,46.87953496323529,,33.56867745614035,,39.67250479166666,35.161836701388886,47.98934482638889,0.7670193981481481,5.227621597222221,"Bryce Elder",27779,693821
"Taijuan Walker","PHI",83.2,29.95113724776881,33.75656099474831,23.528026800816562,38.45067940365634,27.946615773160133,32.27112032258064,,,39.78683172201105,30.888421910973857,42.64858796919251,0.7599165939710695,5.216965989758209,"Taijuan Walker",11836,592836
"Jose Quintana","NYM",170.1,44.30171720634921,42.14215006031363,,,,41.15079421813403,45.69003694339623,,39.97991081973158,37.7812155930359,43.48078478055859,0.7479227348567284,5.198976071817192,"Jose Quintana",11423,500779
"Angel Chivilli","COL",31.2,,39.699226495327096,,,47.007232234042554,,47.42371478048781,,40.05811750972764,45.87332350194552,44.884553132295736,0.7430623540856032,5.191685817120623,"Angel Chivilli",26790,683409
"Hayden Birdsong","SFG",72,46.85333211631664,,,,58.76137243137255,52.20274772200772,76.54530215686273,,40.24160159221902,55.211419185878974,33.816404157060525,0.7316641642651297,5.174588523054755,"Hayden Birdsong",31635,806185
"Anthony Molina","COL",59.2,32.84557447226949,,,,29.36210725410981,41.887420312500005,50.04288133662426,45.81457,40.331431862037974,33.581092904078915,48.9919526455303,0.7260838114690271,5.166218002894586,"Anthony Molina",26952,683627
"Scott McGough","ARI",32.2,46.9030448091603,25.129580454545454,,32.87165445086706,33.17960250000001,,,38.79845,40.335792439446365,36.54927700692042,49.003223200692034,0.7258122837370242,5.165810588235294,"Scott McGough",12056,543518
"Valente Bellozo","MIA",68.2,25.039557628361855,,37.085226137184115,,44.03089433628319,36.55776094890511,49.88234253164557,,40.7392586849315,32.54127077625571,52.46380322374429,0.7007466940639269,5.128211808219179,"Valente Bellozo",23899,678368
"Griffin Canning","LAA",171.2,37.43231203892493,36.41507964285715,,,57.52941420899855,43.13936068181818,51.51274656209149,,40.74429059888579,46.1871655466574,46.7384098850975,0.7004334993036213,5.127742106545961,"Griffin Canning",19867,656288
"Javier Assad","CHC",147,39.33681258706467,40.38130491730982,38.56034095063986,,49.0642049815498,44.949498333333324,38.59101179487178,,40.74655933806146,39.15742276201733,48.76888537037038,0.70029365642238,5.127533096926714,"Javier Assad",21741,665871
"Adam Mazur","SDP",33.2,44.89685973799127,55.97762217391304,,,51.857127766497456,35.20044351351351,36.858626666666666,,40.87652502564102,43.84070011965812,44.76286565811966,0.6922199658119658,5.115421743589744,"Adam Mazur",31900,800049
"Colin Poche","TBR",37.1,49.62483629729729,,,,48.88719323699422,,,,40.900474677716396,46.8709685451197,42.00784075506446,0.6907315837937386,5.113190626151012,"Colin Poche",19403,621363
"Michael Lorenzen","- - -",130.1,43.777484911971825,36.62794237556562,48.37633224880382,,42.82084727564102,37.471078658536584,50.64361491094147,,41.08106510272337,41.85120698518872,47.63613215957956,0.6795113139034878,5.096359307214526,"Michael Lorenzen",14843,547179
"Jalen Beeks","- - -",70,51.15128480846554,24.12981,59.65655777553478,,57.89209,48.28933166666666,42.11141542959914,,41.264550424070286,47.86903387298111,40.52164820235889,0.6681122599350101,5.079260687519557,"Jalen Beeks",17192,656222
"Marcus Stroman","NYY",154.2,36.19942546365914,39.68306756698821,41.82366690721649,35.141960884353736,30.150413617026054,48.076147465753444,,,41.59325456896553,38.165312290104936,39.484659827586206,0.6476916979010495,5.048631049475263,"Marcus Stroman",13431,573186
"Cal Quantrill","COL",148.1,,30.718580047080984,57.8021161516854,46.51935114657211,,40.561628674698795,44.484189148936174,,41.610321742911154,40.170915829867674,43.64719928922495,0.6466302646502836,5.04703834026465,"Cal Quantrill",19312,615698
"Wandy Peralta","SDP",38.1,42.8071679245283,47.800836983471065,,,48.18349,,49.05786815686274,,41.7617556655844,48.6429635064935,42.91234222402599,0.637222191558442,5.032926152597403,"Wandy Peralta",14295,593974
"Huascar Brazobán","- - -",51.2,46.93578836734694,55.95706696832579,42.22661468750001,,,,60.98928748062016,,41.87416550387596,53.24217933554818,32.1153830786268,0.6302398338870433,5.022451738648948,"Huascar Brazoban",6107,623211
"Josh Fleming","PIT",31.1,35.01259,54.99674597014925,35.41988117647059,,,55.71768636363636,37.9853445625,,41.91761664794007,45.52335333333333,40.17963571161049,0.6275395131086143,5.018401367041198,"Josh Fleming",20418,676596
"Matt Moore","LAA",48.1,50.86322213615022,,,,,,64.93282093283581,39.35948426666666,41.93537742388757,51.500926615925074,40.21486827868853,0.6264360772833723,5.01674645199063,"Matt Moore",1890,519043
"James Paxton","- - -",100.1,39.300394505844835,39.42490861012312,64.49897423076922,,,,52.543949999999995,37.571174177949715,41.946835696721315,32.525742781030445,50.861904970725995,0.6257241042154568,5.015678307962529,"James Paxton",11828,572020
"Reese Olson","DET",112.1,44.0544355529954,43.70777232189973,,,39.52755955339806,34.79573044642857,48.48401503631962,,42.05012432884097,42.60188714824798,44.22632611320755,0.6193077088948786,5.006053757412398,"Reese Olson",24968,681857
"Joe Boyle","OAK",47.2,62.847600105263155,,,,65.02134622222223,48.3907875,,,42.20132175983437,64.14356709109731,32.75864501035196,0.609912225672878,4.991960507246376,"Joe Boyle",29608,671212
"Dane Dunning","TEX",95,25.018446666666666,41.61973628930818,33.93181471698113,,38.157190681818186,,45.73404772511847,51.65087835443038,42.25577682060391,41.04784413262285,49.09785210775607,0.6065304795737122,4.986888738898756,"Dane Dunning",19409,641540
"Génesis Cabrera","TOR",62.2,64.84240144385028,58.574762943722924,40.558967518797004,,,37.63454363636362,27.329870769230766,,42.38559857423797,46.827611789577176,33.02634136676499,0.5984651819075713,4.9747903343166175,"Genesis Cabrera",17490,650893
"Pedro Avila","- - -",82.2,50.51222776978416,44.697605510771105,,,41.062592037658476,43.46879521929824,47.48167743589743,,42.48607932536894,44.157059374560795,40.608067505270554,0.5922225368938862,4.965426423049895,"Pedro Avila",18864,658648
"Martín Pérez","- - -",135,32.237448534482766,33.633935424588095,25.5837298973306,,36.28807,37.92309538709677,35.85306696606787,,42.80099519474638,31.33449205615942,57.69340610960145,0.5726588677536232,4.93608071557971,"Martin Perez",6902,527048
