Name,Team,PA,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"David Peralta","SDP",260,0.34645669,,0.09055118,0.03641732,,0.14862205,0.17322835,0.07677165,0.01574803,0.0019685,0.11023622,,,,"David Peralta",2136,444482
"Carlos Santana","MIN",594,0.30045398,,0.09286009,0.05901775,,0.10647957,0.19314899,0.07841519,0.02022286,,0.1469253,,0.00247627,,"Carlos Santana",2396,467793
"Tommy Pham","- - -",478,0.30213209,,0.07436297,0.02236089,,0.18200728,0.2574103,0.06656266,0.01144046,,0.08372335,,,,"Tommy Pham",2967,502054
"Anthony Rizzo","NYY",375,0.30726257,,0.07821229,0.04539106,,0.14455307,0.20879888,0.08589385,0.01187151,0.00069832,0.11731844,,,,"Anthony Rizzo",3473,519203
"Jason Heyward","- - -",258,0.33496094,,0.1015625,0.04394531,0.00488281,0.12597656,0.17871094,0.06640625,0.00683594,0.00195313,0.1328125,,0.00195313,,"Jason Heyward",4940,518792
"Giancarlo Stanton","NYY",459,0.32148715,,0.07162384,0.02405686,,0.15308912,0.2602515,0.06014215,0.0082012,0.00328048,0.09786769,,,,"Giancarlo Stanton",4949,519317
"Justin Turner","- - -",539,0.39051724,,0.07672414,0.01206897,,0.20517241,0.20043103,0.04224138,0.0137931,,0.05862069,,0.00043103,,"Justin Turner",5235,457759
"Robbie Grossman","- - -",245,0.32880698,,0.09893307,0.00969932,,0.13579049,0.14064016,0.08826382,0.01745878,,0.18040737,,,,"Robbie Grossman",5254,543257
"Aaron Hicks","LAA",63,0.19366197,,0.11971831,0.08450704,,0.11619718,0.22183099,0.08802817,0.01056338,,0.16549296,,,,"Aaron Hicks",5297,543305
"Brandon Crawford","STL",80,0.36825397,,0.07936508,0.02539683,,0.0952381,0.14920635,0.07619048,0.02857143,,0.17777778,,,,"Brandon Crawford",5343,543063
"Freddie Freeman","LAD",638,0.30622769,,0.08964697,0.03133677,0.00079334,0.18603729,0.20706069,0.06307021,0.01824673,,0.09520032,,0.00238001,,"Freddie Freeman",5361,518692
"Jose Altuve","HOU",682,0.26120619,,0.07457213,0.03830481,,0.18704156,0.25020375,0.07457213,0.00896496,,0.10513447,,,,"Jose Altuve",5417,514888
"Kyle Higashioka","SDP",263,0.21563089,,0.09887006,0.03389831,0.00094162,0.20527307,0.25612053,0.08003766,0.01506591,,0.09322034,0.00094162,,,"Kyle Higashioka",5517,543309
"Avisaíl García","MIA",51,0.33333333,,0.07526882,0.05376344,,0.1827957,0.12365591,0.06989247,0.02150538,,0.13978495,,,,"Avisail Garcia",5760,541645
"Wilmer Flores","SFG",242,0.28898129,,0.08523909,0.01975052,,0.21725572,0.21725572,0.05821206,0.01143451,,0.1018711,,,,"Wilmer Flores",5827,527038
"J.D. Martinez","NYM",495,0.31725146,,0.07163743,0.02680312,,0.14668616,0.29385965,0.06822612,0.01218324,,0.06140351,,0.00194932,,"J.D. Martinez",6184,502110
"Martín Maldonado","CHW",147,0.3147482,,0.09532374,0.00899281,,0.18165468,0.23741007,0.10071942,0.01079137,,0.05035971,,,,"Martin Maldonado",6887,455117
"Salvador Perez","KCR",652,0.25249891,,0.08604954,0.03954802,,0.14124294,0.31768796,0.06996958,0.01086484,,0.0821382,,,,"Salvador Perez",7304,521692
"Travis d'Arnaud","ATL",341,0.34193073,,0.06337509,0.02137067,0.00073692,0.20412675,0.23802506,0.05158438,0.00884304,,0.06558585,,0.00442152,,"Travis d'Arnaud",7739,518595
"Miguel Rojas","LAD",337,0.29479769,,0.07018993,0.01651528,0.00247729,0.19570603,0.26341866,0.06110652,0.01238646,0.00247729,0.08092486,,,,"Miguel Rojas",7802,500743
"Charlie Blackmon","COL",499,0.38920901,,0.10110005,0.03876375,,0.13043478,0.15715034,0.05605029,0.02147721,,0.10057622,0.00104767,0.00419068,,"Charlie Blackmon",7859,453568
"Matt Carpenter","STL",157,0.31886228,,0.10179641,0.05389222,0.00598802,0.14820359,0.15718563,0.11526946,0.03892216,0.00149701,0.05688623,,0.00149701,,"Matt Carpenter",8090,572761
"Donovan Solano","SDP",309,0.32285939,,0.05655931,0.0188531,,0.19874313,0.25530244,0.06205813,0.01649647,0.00157109,0.06598586,0.00157109,,,"Donovan Solano",8623,456781
"Paul Goldschmidt","STL",654,0.31578947,,0.07508281,0.03018035,,0.16304748,0.2576371,0.05226353,0.01582628,,0.08722856,0.00036805,0.00257637,,"Paul Goldschmidt",9218,502671
"Starling Marte","NYM",370,0.27875794,,0.08256881,0.02681722,,0.20818631,0.23853211,0.0649259,0.01834862,,0.07762879,,0.0042343,,"Starling Marte",9241,516782
"Yan Gomes","CHC",96,0.39733333,,0.096,0.01333333,,0.13333333,0.24266667,0.07733333,0.00266667,0.00266667,0.03466667,,,,"Yan Gomes",9627,543228
"Christian Vázquez","MIN",315,0.33567046,,0.0762489,0.02278703,,0.15249781,0.24890447,0.07449606,0.01928133,,0.06923751,,0.00087642,,"Christian Vazquez",9774,543877
"Nolan Arenado","STL",635,0.31199021,,0.06729201,0.02814029,0.00081566,0.1867863,0.25734095,0.04282219,0.01386623,,0.08972268,,0.00122349,,"Nolan Arenado",9777,571448
"Andrew McCutchen","PIT",515,0.27798335,,0.07308048,0.01942646,,0.21785384,0.2627197,0.0573543,0.01618871,,0.07539315,,,,"Andrew McCutchen",9847,457705
"DJ LeMahieu","NYY",228,0.31360947,,0.10414201,0.01893491,,0.20828402,0.21183432,0.06272189,0.0035503,0.00118343,0.07573964,,,,"DJ LeMahieu",9874,518934
