"last_name, first_name","player_id","year","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break_z_induced","fastball_avg_break","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break_z_induced","breaking_avg_break","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break_z_induced","offspeed_avg_break"
"Raley, Brooks",548384,2024,32.9,,,,,,,,,,,,,,,"18.5","83.7","2008","17.8","-39.2","0.4","17.9",,,,,,,,"9.2","88.9","2361","14.2","-31","4","14.9","24.4","85.7","2628","-4.7","-31.4","5.7","8",,,,,,,,,,,,,,,"47.9","80.5","2943","-19.5","-40.4","2.4","19.9",,,,,,,,,,,,,,,,,,,,,,"33.6","86.6","2555","0.5","-31.3","5.2","9.9","47.9","80.5","2943","-19.5","-40.4","2.4","19.9","18.5","83.7","2008","17.8","-39.2","0.4","17.9"
"Nelson, Nick",656793,2024,48.1,"26","94.4","1903","-5.4","-14.8","16.1","17.1","24","86.9","2328","3.5","-35.4","0.8","4.1","17.7","87.3","1965","-16.6","-28.7","7.3","18.2",,,,,,,,"30.2","93.6","1952","-14.2","-20.2","11.1","18.1",,,,,,,,,,,,,,,"2.1","79.8","254","-2.7","-38.8","4.7","5.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.3","93.9","1929","-10.1","-17.7","13.4","17.6","26","86.3","2162","3","-35.6","1.1","4.2","17.7","87.3","1965","-16.6","-28.7","7.3","18.2"
"Mederos, Victor",682989,2024,36.9,"32.7","97.1","2339","-10.1","-13.9","15.3","18.4","22.4","90.4","2458","3.6","-28.2","5.1","6.6","10.3","91","1875","-15.6","-26","7.1","17.1","15.9","83.1","2489","8.6","-52.2","-12.4","15.2","18.7","96.4","2326","-17.7","-20.7","8.8","19.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.4","96.8","2334","-12.9","-16.3","13","18.9","38.3","87.4","2470","5.7","-38.1","-2.1","10.2","10.3","91","1875","-15.6","-26","7.1","17.1"
"Hernandez, Jose E.",669796,2024,55.5,"33.7","93.1","2167","8.5","-14.9","16.9","19.1","66.3","81.6","2112","-0.1","-43","-1.9","2.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33.7","93.1","2167","8.5","-14.9","16.9","19.1","66.3","81.6","2112","-0.1","-43","-1.9","2.7",,,,,,,
"Graterol, Brusdar",660813,2024,37.2,"14.9","97.6","2112","-8.8","-15.1","13.5","16.2","30.7","89.7","2484","4","-31.4","2.4","5.6","1","91.9","1962","-14.3","-22.1","10.2","17.6",,,,,,,,"41.6","98.3","2027","-16.5","-20.6","7.7","18.3","11.9","96.4","2144","-3.2","-17.8","11.6","12.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68.3","97.8","2066","-12.5","-18.9","9.6","16.7","30.7","89.7","2484","4","-31.4","2.4","5.6","1","91.9","1962","-14.3","-22.1","10.2","17.6"
"Neely, Jack",680891,2024,34.1,"53.1","96.1","2199","-5.9","-12.9","16.7","17.8","46.9","87.4","1873","1.3","-35.5","0.4","2.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.1","96.1","2199","-5.9","-12.9","16.7","17.8","46.9","87.4","1873","1.3","-35.5","0.4","2.6",,,,,,,
"Gillispie, Connor",687362,2024,38.5,"42","92.2","2295","-9.1","-15","17.2","19.6","13.8","82.5","2468","8.6","-37.5","2.6","9.5","22.5","87.5","1954","-16.4","-30","5.7","17.4",,,,,,,,,,,,,,,"21.7","88","2475","0.5","-25.1","9.9","10.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63.8","90.8","2357","-5.8","-18.4","14.8","16.4","13.8","82.5","2468","8.6","-37.5","2.6","9.5","22.5","87.5","1954","-16.4","-30","5.7","17.4"
"Eisert, Brandon",685126,2024,34.5,"36.4","91.2","2097","9.7","-16.2","16.9","19.7","40.9","84.7","2194","-3.3","-34.1","4.2","6.4","22.7","85.3","1276","13.5","-34.3","3.3","14.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.4","91.2","2097","9.7","-16.2","16.9","19.7","40.9","84.7","2194","-3.3","-34.1","4.2","6.4","22.7","85.3","1276","13.5","-34.3","3.3","14.1"
"Bruihl, Justin",677865,2024,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.3","90.4","2207","13.5","-29","4.2","14.3","28.3","88","2460","-3.2","-27.8","7","7.7",,,,,,,,,,,,,,,"41.4","78.9","2606","-15.1","-48.1","-4","15.8",,,,,,,,,,,,,,,,,,,,,,"58.6","89.2","2329","5.5","-28.4","5.5","11.1","41.4","78.9","2606","-15.1","-48.1","-4","15.8",,,,,,,
"Zastryzny, Rob",642239,2024,41.5,"40.3","91.5","2504","1.3","-19.7","12.6","13",,,,,,,,"4.2","82.2","1935","15.2","-35.6","4.8","16",,,,,,,,,,,,,,,"48.7","86.7","2503","-5.5","-32","4.1","7.2",,,,,,,,,,,,,,,"6.7","80.9","2330","-9.4","-37.2","4.3","10.9",,,,,,,,,,,,,,,,,,,,,,"89.1","88.9","2503","-2.4","-26.4","8","9.8","6.7","80.9","2330","-9.4","-37.2","4.3","10.9","4.2","82.2","1935","15.2","-35.6","4.8","16"
