"last_name, first_name","player_id","year","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Verlander, Justin","434378","2024",69.9,17.2,27.1,32.1,67.5,49.6,82.6,7.7,"1580",82.8,50.4,43.5,21.3,48.7
"Jansen, Kenley","445276","2024",67.4,19.9,24.9,53.6,44,42.2,78.9,8.9,"801",79.8,57.8,44.4,27,49.4
"Chavez, Jesse","445926","2024",63.5,13.7,22.3,25.8,74.2,51.4,77,7.1,"1044",85.4,48.6,42.2,17,42.3
"Morton, Charlie","450203","2024",66.3,16.1,28,48.5,51.2,51.4,76.4,7,"2791",82.7,48.6,43.5,26.1,46.6
"Scherzer, Max","453286","2024",72.6,20.3,36.4,47.5,52.5,49.3,91.3,6.9,"669",78.9,50.7,47.5,29.2,54.7
"Martin, Chris","455119","2024",68.9,19.4,35.2,35.3,62.7,44.1,90,6.1,"657",80.6,55.9,49.2,23.9,54
"Wilson, Justin","458677","2024",74.6,20.1,33.8,37.1,62.1,47.8,80.8,9.6,"816",79.9,52.2,43.4,25.1,55.1
"Lynn, Lance","458681","2024",73.4,20,26.1,34.5,65.1,52.9,83.8,7.6,"2039",79.7,47.1,42.6,24.1,48.4
"Carrasco, Carlos","471911","2024",69.2,11.4,31.3,43.9,55.1,54.2,74.1,6.4,"1693",88.3,45.8,43.7,22.7,48.7
"García, Luis","472610","2024",67.4,12.3,33.1,46.1,53.9,51.8,73.1,7.5,"898",87.3,48.2,41.8,24,49.7
"Kershaw, Clayton","477132","2024",69.4,13,26.5,50,50,44.8,79.1,8.5,"504",87,55.2,41.3,21.7,50.2
"Yates, Kirby","489446","2024",67.6,28.6,32.8,42.9,57.1,52.6,87,6.7,"1027",71.1,47.4,44.3,33.6,49.3
"Ottavino, Adam","493603","2024",59.1,19.5,26.6,40.6,57.8,48.1,64.7,10.2,"1003",80.5,51.9,39.5,25.7,43.5
"Quintana, Jose","500779","2024",64.5,12,28,38.7,60.9,58.7,76.2,5.2,"2819",87.4,41.3,43.8,22.2,43.1
"Gibson, Kyle","502043","2024",64,14.6,26.3,47.5,52,55.9,74.3,5.4,"2764",84.9,44.1,45.6,25.9,42.9
"Robertson, David","502085","2024",61.8,22,25.6,47.1,52.9,50.7,74.5,8.8,"1211",78,49.3,39.4,29.5,43.4
"Anderson, Chase","502624","2024",70.3,21,23,32.2,67.8,50.6,78.2,7.7,"1016",79,49.4,43.8,23.8,46.4
"Darvish, Yu","506433","2024",69.4,19.2,30.7,41.7,58.3,46.6,74.8,8.5,"1261",80.1,53.4,43.2,25.6,51.5
"Alexander Jr., Scott","518397","2024",69.3,7,31.1,45.2,54.8,52.8,75.7,6.5,"566",93,47.2,41.7,19.8,49.1
"Brasier, Ryan","518489","2024",73.3,15.6,34.8,40.4,59.6,43.9,81.3,8.6,"374",84.4,56.1,46.8,22.3,56.4
"Cruz, Fernando","518585","2024",67.4,23.5,29.9,65.2,34.2,55,77.8,7.1,"1138",75.7,45,39.7,38.2,46.7
"Diekman, Jake","518617","2024",61.2,23.5,25,40.2,58.5,52.3,56,8,"627",76,47.7,40.8,28.7,42.3
"Kelly, Merrill","518876","2024",68.1,12.9,30.5,37.8,62.2,53.1,79.5,6.4,"1142",86.3,46.9,47.7,21.3,48.2
"Kimbrel, Craig","518886","2024",64.3,21.3,22.3,57.8,42.2,50.8,82.9,7.3,"963",78.7,49.2,41.5,30.9,43
"McFarland, T.J.","519008","2024",59.7,10.9,31.6,35.9,63.3,48.4,66.1,7,"836",86.4,51.6,45.8,19.2,46.2
"Moore, Matt","519043","2024",72.2,23,27.5,35.5,63.7,52.8,79.3,6.8,"854",76.6,47.2,43.4,26.7,48.6
"Pressly, Ryan","519151","2024",69.2,15,31.5,52.9,47.1,50.2,73.2,8.5,"969",84.1,49.8,42.3,26.9,50.3
"Sale, Chris","519242","2024",63.9,21.7,33.5,49.4,50.6,49.2,65.4,7.3,"2815",78.1,50.8,42.9,31,49
"Smith, Will","519293","2024",65.3,16.5,27.9,41.3,58.7,49,66.7,7.6,"673",83,51,40.3,23.7,47
"Strickland, Hunter","519326","2024",66.7,17.1,27.9,36,64,50.7,76.3,8,"1157",82.9,49.3,44.2,22.8,47
"Kelly, Joe","523260","2024",68.3,15.3,23.7,43.1,55.4,49.6,73.1,9.4,"552",84.7,50.4,40.6,22.4,46.2
"Pérez, Martín","527048","2024",64.7,13.7,28,37.1,62.2,51,71,6.3,"2204",85.8,49,47.4,21,46
"Ramírez, Erasmo","541640","2024",67.9,20.9,22.1,32.3,67.7,46.4,73.9,7.6,"302",79.1,53.6,48,23.4,46.7
"Anderson, Tyler","542881","2024",71.5,20.8,29.5,43.1,56.3,52.8,78.8,6.6,"2914",78.8,47.2,45.1,27.8,49.3
"Armstrong, Shawn","542888","2024",68.7,19.1,29.6,33.3,66.7,45.6,76.6,9.6,"1109",80.9,54.4,42,22.9,50.9
"Cole, Gerrit","543037","2024",68.5,17.8,27.3,43.2,56.8,49.2,72.6,8.1,"1534",81.7,50.8,43.2,24.8,48.3
"Coulombe, Danny","543056","2024",62.1,14.9,28,43.3,56.7,51.3,68.4,8.2,"466",85.1,48.7,42.1,24,44.6
"Eovaldi, Nathan","543135","2024",70.3,19.4,32.2,44.5,55.2,47.6,74.6,6.8,"2622",80.4,52.4,44,26.8,52.2
"Gray, Sonny","543243","2024",65.9,17.7,30.7,56.7,43,49,75.7,8.3,"2483",81.9,51,42.4,29.8,48.7
"Hendricks, Kyle","543294","2024",64.4,13.4,29.6,29.6,70.1,52.4,77.8,5.5,"2135",86.3,47.6,46.9,18.9,46.2
"Hudson, Daniel","543339","2024",77.5,24.3,24.9,55.9,44.1,51.2,83.1,6.5,"999",75.7,48.8,40.8,32.3,50.6
"Jackson, Jay","543351","2024",71.1,21.8,25.8,36.8,61.4,48.8,86.7,9.9,"453",78.2,51.2,40,25.7,49
"McGough, Scott","543518","2024",71.8,19.1,25.4,43.8,56.2,49.7,78.6,7.3,"577",79.9,50.3,45.7,25.5,48.9
"Tonkin, Michael","543859","2024",65.5,17.1,31.2,35.9,63.7,53.5,66,7.5,"1419",81.8,46.5,39.3,23.7,47.2
"Suárez, Albert","544150","2024",76.1,19.2,28,37.4,62.3,53.4,82.6,6.2,"2234",80.8,46.6,43.4,24.6,50.4
"Poteet, Cody","547001","2024",65.3,11.3,21.6,28.6,71.4,50.5,94.7,4.9,"384",88.7,49.5,44,15.7,43.2
"Lorenzen, Michael","547179","2024",67.7,16.8,23.9,38.2,61.1,52.4,75.8,7.7,"2092",83.2,47.6,41.5,22.8,44.7
"Kelly, Michael","547184","2024",65,14.1,29.6,41.2,57.4,48.9,71.1,8.1,"470",85.3,51.1,42.6,22.3,47.7
"Chapman, Aroldis","547973","2024",62.1,23.7,26.4,53.1,46.3,49.3,72.3,7.4,"1128",76.3,50.7,41.5,32.3,44.5
"Stripling, Ross","548389","2024",65.6,12.6,29.2,27.1,72.9,48.5,75.2,7.4,"1358",86.9,51.5,46.5,16.9,47.9
"Kittredge, Andrew","552640","2024",67.9,15.6,38.9,49.5,50,49.5,70.7,7.3,"1029",83.9,50.5,42.8,27.8,53.5
"García, Yimi","554340","2024",68.6,20.8,33.8,45.7,53.3,50.2,74,8.1,"619",78.8,49.8,43.7,29,51.2
"Wheeler, Zack","554430","2024",69.1,21.4,33.8,39.7,60.1,50.6,80.6,7.1,"3134",78.3,49.4,43.7,27.5,51.2
"Ureña, José","570632","2024",71,16.4,26.4,38.6,61,53.6,78.4,7.1,"1760",83.4,46.4,43.2,23.1,47
"Boyd, Matthew","571510","2024",70.4,20.6,28.7,50.5,49.5,51.6,81.6,5.7,"669",78.9,48.4,45.9,29.7,48.9
"Corbin, Patrick","571578","2024",69.1,12.6,29.8,42.5,57.5,53.1,78.5,6.8,"2888",87.1,46.9,44.7,22.4,48.2
"Farmer, Buck","571656","2024",64.2,17.4,29.3,43.3,56.7,52.5,68,8.5,"1170",81.8,47.5,41.7,26.1,45.9
"Floro, Dylan","571670","2024",60,11,22.9,39.3,60.7,48.1,71.1,8.2,"1018",88.3,51.9,45,18.4,42.1
"Heaney, Andrew","571760","2024",70.1,17.9,30.5,45.8,54,50,77.9,7.1,"2731",81.7,50,43.2,26.3,50.3
"Law, Derek","571882","2024",67.8,16,34,50.8,49.2,52.9,75.5,6.9,"1368",83.5,47.1,44.3,28.6,49.9
"Matz, Steven","571927","2024",68.1,14.9,25.2,28.4,71.6,46.3,79.3,7.7,"754",85.1,53.7,43,18.1,48.3
"Mikolas, Miles","571945","2024",66.5,12.5,27.9,28.7,70.9,43.3,77.7,9.1,"2705",87.5,56.7,45.3,16.4,49.8
"Miller, Shelby","571946","2024",69,17.6,26.9,43.9,55.1,46.8,74.7,10.2,"850",82.1,53.2,41.4,24.3,49.3
"Milner, Hoby","571948","2024",59,16.4,26.4,26.3,72.2,48.3,66.1,5.9,"1043",83,51.7,49,19.3,43.2
"Paxton, James","572020","2024",69.3,12.5,25.8,43.3,56.3,50.8,75.7,6.5,"1708",87.3,49.2,41.8,21.1,47.2
"Smith, Burch","572143","2024",72.5,16.1,26.9,34.8,64.3,46.4,83.7,9.6,"896",83.3,53.6,42.5,20.7,51.3
"Johnson, Pierce","572955","2024",61,18.8,27.5,50.8,49.2,47.6,75.6,9,"916",80.9,52.4,40.9,28.1,45.1
"Keuchel, Dallas","572971","2024",62.8,10.5,19.8,40.5,59.5,60.7,63.6,3.6,"308",89.5,39.3,42.9,20.4,36.7
"Mantiply, Joe","573009","2024",69,19.9,38.5,39.5,60.5,53.1,78.3,5.3,"867",79.4,46.9,41.6,27.5,52.8
"Rogers, Taylor","573124","2024",61.2,17.3,21.2,43,57,46.7,68.1,10.7,"1082",82.2,53.3,40,23.3,42.5
"Stroman, Marcus","573186","2024",66.4,11.2,26.5,38.5,61.5,56.3,77.8,5.9,"2667",88.7,43.7,40.1,20.4,43.9
"Thielbar, Caleb","573204","2024",68.7,21,26.7,34.8,65.2,48.5,77.1,9.4,"887",78,51.5,41.7,24.7,48.4
"Kikuchi, Yusei","579328","2024",67.8,21.2,27.9,49.2,50.3,48.5,80,8.4,"2923",78.4,51.5,41.4,29,48.4
"Adam, Jason","592094","2024",70.7,26.4,33,60.1,39.9,54.1,77.4,7.6,"1109",73.6,45.9,39.9,38.4,50.3
"Booser, Cam","592155","2024",70.6,22,34.3,43.6,56.4,49.1,89.8,7.1,"695",76.8,50.9,44.7,28.9,52.8
"Emanuel, Kent","592288","2024",61.5,10.4,18.5,18.5,77.8,48.3,80.6,10.3,"302",89.6,51.7,37.1,12.2,40.7
"Gausman, Kevin","592332","2024",71.1,15.9,29.8,39.1,60,51.5,79.8,7.1,"2958",83.5,48.5,43.4,23.4,49.9
"Gray, Jon","592351","2024",70.6,14.6,29.7,48.9,51.1,46.6,84,8.1,"1620",85.1,53.4,43.4,23.8,51.6
"Jackson, Luke","592426","2024",65.7,16.9,30.9,52.9,47.1,53.9,76.8,6.1,"917",82.4,46.1,43.2,29.7,47
"Kahnle, Tommy","592454","2024",69.1,23,31.2,58.3,41.7,56.4,70.8,6.4,"750",77,43.6,42.7,36,47.7
"Ray, Robbie","592662","2024",72.9,22.6,29.4,63,37,55.1,74.2,5.5,"568",76.3,44.9,40.7,36,48.9
"Smyly, Drew","592767","2024",68.8,15.3,27.7,49.3,50,50.4,81.2,8.4,"1016",84.4,49.6,41,25.2,48.1
"Stanek, Ryne","592773","2024",72.6,27.3,32,45.7,54.3,51.9,79.7,6.6,"977",72.4,48.1,42.9,33.2,51.5
"Taillon, Jameson","592791","2024",65.6,12.1,27.8,39.9,59.7,46,78.4,9.1,"2483",87.6,54,43.8,19.5,48.2
"Walker, Taijuan","592836","2024",64.1,10.3,25.1,32.4,67,51.3,73.1,7.2,"1435",89.1,48.7,41,16.7,44.1
"Williams, Trevor","592866","2024",68,16.4,28.4,35.2,64.2,53.7,79.7,7,"1064",82.4,46.3,47.3,22.5,46.7
"Germán, Domingo","593334","2024",70.6,11.2,29.1,40.4,57.9,52.5,74.2,8.3,"373",88,47.5,41,20.3,48.8
"Montas, Frankie","593423","2024",70.6,17.7,27.7,42.5,57.5,51.1,83,7.6,"2633",81.6,48.9,42,24.9,48.7
"Neris, Héctor","593576","2024",73.6,17.8,31,42.8,56.6,53.1,81.1,7.3,"1008",82.2,46.9,44.1,25.9,51
"Rodriguez, Eduardo","593958","2024",65.3,20.5,28.7,26.4,72.9,51.8,87.8,5.7,"866",79.5,48.2,46.7,22.4,46.4
"Peralta, Wandy","593974","2024",68.9,9,34,33.9,63.6,58.1,80,5.7,"613",89.3,41.9,40.9,19.1,48.6
"Moll, Sam","594580","2024",63.8,19.2,25.5,42.3,57.7,49,66.7,7.7,"624",79.8,51,42.5,25.6,45
"Gonzales, Marco","594835","2024",70.4,11.6,33,30.8,69.2,50.5,69,7.7,"546",88.4,49.5,46.2,17.8,51.5
"Lively, Ben","594902","2024",68.4,13,24.3,34.5,65.2,49.6,83.5,7.1,"2406",86.3,50.4,44.1,18.6,46.6
"Treinen, Blake","595014","2024",61.4,14.7,35.2,50.4,49.6,50.5,69.6,7.6,"737",84.4,49.5,42.7,27.9,48.2
"Okert, Steven","595345","2024",66.7,17.5,22.8,42.6,57.4,48.4,75.6,6.7,"616",82.1,51.6,41.9,23.6,45.5
"Junis, Jakob","596001","2024",62.7,19.5,28,39.8,59.3,42.8,70.5,9.3,"943",79.6,57.2,41.3,24.6,47.8
"Weaver, Luke","596133","2024",72.7,28.2,31.9,42.9,56.3,56.3,89.3,6.1,"1374",70.6,43.7,44,33.5,49.7
"Gomber, Austin","596295","2024",68.7,14.6,25.9,35.3,64.7,47.6,73.7,8.1,"2622",85,52.4,46.3,19.9,48.3
"Leclerc, José","600917","2024",69.2,27.2,29.8,52.3,47.2,55.5,82.8,7.2,"1204",71.4,44.5,38,36,47.3
"Vieira, Thyago","600986","2024",62.2,17.5,23.5,44.7,55.3,49.1,77.3,6,"737",82.1,50.9,43.2,24.8,43.3
