Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Emmanuel Clase","CLE",74.1,93.73166666666667,107.6,124.55738562091504,,156.06,,,,,130.62028542303776,100.79824668705409,127.69076452599393,"Emmanuel Clase",21032,661403
"Griffin Jax","MIN",71,94.98990476190477,112.08038095238093,,,107.58319587628867,134.56531250000006,118.92171428571429,,,107.76233940556088,118.12224352828372,127.26377756471716,"Griffin Jax",20253,643377
"Ryan Helsley","STL",66.1,115.65315533980583,,,,144.44523917995443,137.679649122807,,,,130.9854364640884,98.2596243093923,127.23876243093916,"Ryan Helsley",18138,664854
"Yennier Cano","BAL",60,91.33837837837834,125.42974951830439,,,118.65755725190836,,100.33708502024292,,,114.61952238805972,112.39474626865672,126.76443781094534,"Yennier Cano",25911,666974
"Jeremiah Estrada","SDP",61,111.31086642599278,,,131.63466666666665,96.41973684210524,,,,,111.86944558521562,113.11246406570845,124.95509240246408,"Jeremiah Estrada",22210,669093
"Adrian Morejon","SDP",63.2,111.07412244897962,117.99382585751981,,150.13654320987658,129.21874418604648,,,,,123.15688336520078,103.74915869980885,122.61435946462717,"Adrian Morejon",20039,670970
"Tyler Rogers","SFG",70.1,111.99,116.26614400000001,,,133.88951566951565,,,,,122.50680981595094,109.29094069529647,122.53149284253585,"Tyler Rogers",15541,643511
"Josh Hader","HOU",71,,113.96387254901954,,,114.43634615384622,,81.568,,,113.79104845814969,105.14588546255507,122.39689867841403,"Josh Hader",14212,623352
"A.J. Puk","- - -",71.1,110.4227833001988,96.2354802259887,,94.64666666666669,120.14753100643613,,90.5329411764706,,,113.1218578771081,109.4324080880848,120.44896193928993,"A.J. Puk",19343,640462
"Clay Holmes","NYY",63,,107.6793719008265,,,145.0685227272728,,,,,123.70958412098298,99.68463137996218,120.2327599243857,"Clay Holmes",13649,605280
"Yimi García","- - -",39,123.87256637168143,111.99470588235297,,,150.4610778673155,109.5604918032787,102.95355932203391,,,121.60038617713637,101.94560887096772,119.18850091963785,"Yimi Garcia",12095,554340
"Jhoan Duran","MIN",54.1,113.01086350974927,,,116.67357400722021,,145.50253061224493,,,,123.17608646188852,96.41183162684871,118.69208191126276,"Jhoan Duran",21029,661395
"Corbin Burnes","BAL",194.1,,89.44729613733908,110.41607116382505,,139.32054580896684,115.29401550387597,95.17577039274923,,,111.52258280361329,106.43025092004017,118.63492137838735,"Corbin Burnes",19361,669203
"Justin Martinez","ARI",72.2,110.65776119402986,127.84774436090231,,133.5508171206226,105.93999999999998,,,,,122.38478632478629,94.49119658119659,117.9503931623933,"Justin Martinez",24453,679885
"Mason Miller","OAK",65,123.70256965944267,,,106.24000000000001,137.72301675977656,,102.5694117647059,,,128.20224609374998,91.00681640625002,117.37248046874998,"Mason Miller",31757,695243
"Orion Kerkering","PHI",63,102.31624439648014,109.36545454545457,,,132.19657353656095,,,,,120.04273652574204,101.8086398246198,117.26520469626087,"Orion Kerkering",31776,689147
"Edwin Díaz","NYM",53.2,117.13052631578944,,,,122.10137299771168,,,,,119.5123903508772,94.47846491228067,117.17287280701753,"Edwin Diaz",14710,621242
